player_id,player,nationality,squad,birth_year,value,height,position,foot,league,games,games_starts,minutes,goals_2018,goals_2019,pens_2018,pens_2019,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Alberto Paloschi,it ITA,SPAL,1990,3500000,183,attack - Centre-Forward,right,Serie A,36,25,2184,7,0,0,0,2,0,0.29,0,0.29,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.038461538,0.775641026,0.006410256,0.006410256,0.012820513,0.147435897,0.025641026,0
1121,Emerson Hyndman,us USA,Bournemouth,1996,1000000,170,midfield - Central Midfield,right,Premier League,1,1,58,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007075472,0.047169811,0.521816038,0.056603774,0.010613208,0.004127358,0.093160377,0.017688679,0.038915094
925,Jimmy Giraudon,fr FRA,Troyes,1992,1000000,184,Defender - Centre-Back,right,Ligue 1,25,24,2093,0,0,0,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.012987013,0.238095238,0.002164502,0.002164502,0,0.038961039,0.004329004,0
413,Fabrizio Caligara,it ITA,Cagliari,2000,1000000,180,midfield - Central Midfield,left,Serie A,1,0,18,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000339674,0.052649457,0.584578804,0.019361413,0.015285326,0.001358696,0.104619565,0.028192935,0.002717391
839,Dimitri Foulquier,fr FRA,Strasbourg,1993,2000000,183,Defender - Right-Back,right,Ligue 1,16,13,1241,0,2,0,0,2,0,0,0.15,0.15,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Renaud Cohade,fr FRA,Metz,1984,1000000,181,midfield - Central Midfield,right,Ligue 1,38,38,3298,1,3,0,0,5,0,0.03,0.08,0.11,0.03,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,JÃ©rÃ©my Grimm,fr FRA,Strasbourg,1987,60000,181,midfield - Defensive Midfield,right,Ligue 1,23,7,811,1,0,0,0,3,0,0.11,0,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Bingourou Kamara,sn SEN,Strasbourg,1996,2500000,196,Goalkeeper,right,Ligue 1,19,19,1691,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,Jawad El Yamiq,ma MAR,Genoa,1992,90000,190,Defender - Centre-Back,right,Serie A,4,4,360,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,Kenny Lala,fr FRA,Strasbourg,1991,5000000,178,Defender - Right-Back,right,Ligue 1,31,30,2724,3,5,3,3,5,2,0.1,0.17,0.26,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Ã‰dgar Barreto,py PAR,Sampdoria,1984,1000000,180,midfield - Central Midfield,right,Serie A,28,24,1965,1,2,0,0,5,2,0.05,0.09,0.14,0.05,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Luca Antei,it ITA,Benevento,1992,80000,186,Defender - Centre-Back,right,Serie A,8,8,592,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Leon Britton,eng ENG,Swansea City,1982,1000000,167,midfield - Central Midfield,right,Premier League,5,4,302,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Pedro AlcalÃ¡,es ESP,Girona,1989,80000,196,Defender - Centre-Back,right,La Liga,8,8,688,1,0,0,0,4,0,0.13,0,0.13,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Tristan DingomÃ©,cm CMR,Troyes,1991,1000000,174,midfield - Central Midfield,left,Ligue 1,14,14,1167,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,Alexandre Oukidja,dz ALG,Strasbourg,1988,70000,184,Goalkeeper,right,Ligue 1,17,16,1457,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,Idriss Saadi,dz ALG,Strasbourg,1992,2000000,180,attack - Centre-Forward,right,Ligue 1,26,10,939,4,0,0,0,1,0,0.38,0,0.38,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,Rodrigo,es ESP,Valencia,1991,40000000,182,attack - Centre-Forward,left,La Liga,37,31,2670,16,4,1,1,4,0,0.54,0.13,0.67,0.51,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
